kingdom,phylum,class,order,family,genus,species
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia delicatissima
Stramenopiles,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis guyunusae
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca fusiformis
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia hasleana
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
Stramenopiles,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis tropicalis
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea ostrearia
Stramenopiles,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Grammonema,Grammonema striatula
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,Mayamaea permitis
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Fistulifera,Fistulifera solaris
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Fistulifera,Fistulifera pelliculosa
Stramenopiles,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Placoneis,Placoneis sp. WJS-2015a
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Attheyaceae,Attheya,Attheya longicornis
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Melosirales,Hyalodiscaceae,Podosira,Podosira stelligera
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora pupula
Stramenopiles,Bacillariophyta,Mediophyceae,Triceratiales,Plagiogrammaceae,Plagiogramma,Plagiogramma sp. IAL-2014a
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora bacillum
Dinoflagellates,Dinophyceae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium chlorophorum
Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
Dinoflagellates,Dinophyceae,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata
Dinoflagellates,Dinophyceae,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum
Dinoflagellates,Dinophyceae,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium cf. depressum
Dinoflagellates,Dinophyceae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium sp. NVA/RUS/2008
Dinoflagellates,Dinophyceae,Dinophyceae,Syndiniales,Syndiniaceae,Hematodinium,Hematodinium sp.
Rhodophyta,Florideophyceae,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia hendryi
Rhodophyta,Florideophyceae,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela oregona
Rhodophyta,Florideophyceae,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia floccosa
Rhodophyta,Florideophyceae,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia,Pterosiphonia bipinnata
Rhodophyta,Florideophyceae,Florideophyceae,Ceramiales,Rhodomelaceae,Melanothamnus,Melanothamnus harveyi
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,Ectocarpus siliculosus
Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus trossulus
Rhodophyta,Florideophyceae,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,Gracilaria vermiculophylla
Stramenopiles,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus
Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Marionina,Marionina sp. F LM-2012
Metazoa,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,Dendraster excentricus
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata
Stramenopiles,Raphidophyceae,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo
Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,Modiolus modiolus
Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Myrionema,Myrionema balticum
Metazoa,Annelida,Clitellata,Haplotaxida,Lumbricidae,Octolasion,Octolasion tyrtaeum
Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis
Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata
Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,Tortanus discaudatus
Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculista,Musculista senhousia
Metazoa,Mollusca,Bivalvia,Veneroida,Mactridae,Tresus,Tresus capax
Metazoa,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia pacifica
Stramenopiles,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,Eucampia zodiacus
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leuckartiara,Leuckartiara octona
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Leathesia,Leathesia marina
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Petalonia,Petalonia fascia
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus
Rhodophyta,Florideophyceae,Florideophyceae,Ceramiales,Delesseriaceae,Polyneura,Polyneura latissima
Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Phacellophora,Phacellophora camtschatica
Metazoa,Annelida,Clitellata,Haplotaxida,Megascolecidae,Amynthas,Amynthas sp. FJ201111-06
Stramenopiles,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana
Metazoa,Annelida,Clitellata,Haplotaxida,Tubificidae,Bothrioneurum,Bothrioneurum vejdovskyanum
Rhodophyta,Bangiophyceae,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia perforata
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Laminariocolax,Laminariocolax aecidioides
Metazoa,Annelida,Clitellata,Haplotaxida,Tubificidae,Nais,Nais communis/variabilis complex sp. A1
Rhodophyta,Florideophyceae,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina vancouveriensis
Metazoa,Annelida,Clitellata,Haplotaxida,Tubificidae,Nais,Nais elinguis
Metazoa,Annelida,Clitellata,Haplotaxida,Tubificidae,Rhyacodrilus,Rhyacodrilus falciformis
Rhodophyta,Bangiophyceae,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia fallax
Metazoa,Annelida,Polychaeta,Capitellida,Capitellidae,Barantolla,Barantolla americana CMC01
Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,Chrysaora fuscescens
Metazoa,Annelida,Polychaeta,Capitellida,Capitellidae,Capitella,Capitella nonatoi
Rhodophyta,Bangiophyceae,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia nereocystis
Stramenopiles,Phaeophyceae,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia menziesii
Stramenopiles,Phaeophyceae,Phaeophyceae,Fucales,Sargassaceae,Cystoseira,Cystoseira geminata
Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia labiata
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Soranthera,Soranthera ulvoidea
Metazoa,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,Eucalanus bungii
Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,Scytosiphon lomentaria
Rhodophyta,Florideophyceae,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,Calliarthron tuberculosum
Metazoa,Annelida,Polychaeta,Capitellida,Capitellidae,Dasybranchus,Dasybranchus sp. DH1
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013
Metazoa,Annelida,Polychaeta,Capitellida,Maldanidae,Euclymene,Euclymene oerstedi
Metazoa,Annelida,Polychaeta,Capitellida,Maldanidae,Euclymene,Euclymene sp. BOLD:ACG1020
Metazoa,Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,Schistomeringos longicornis
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Melanosiphon,Melanosiphon intestinalis
Metazoa,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice valens
Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus moultoni
Metazoa,Annelida,Polychaeta,NA,Opheliidae,Ophelina,Ophelina acuminata
Haptophyceae,Haptophyceae,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis antarctica
Metazoa,Annelida,Polychaeta,NA,Orbiniidae,Leitoscoloplos,Leitoscoloplos pugettensis CMC01
Metazoa,Annelida,Polychaeta,NA,Orbiniidae,Naineris,Naineris dendritica CMC02
Haptophyceae,Haptophyceae,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
Metazoa,Annelida,Polychaeta,NA,Saccocirridae,Saccocirrus,Saccocirrus sp. CMC01
Metazoa,Annelida,Polychaeta,Phascolosomatiformes,Phascolosomatidae,Phascolosoma,Phascolosoma agassizii
Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus acuspes
Rhodophyta,Bangiophyceae,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia haitanensis
Metazoa,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphroditella,Aphroditella hastata
Metazoa,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera sp. CMC03
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Proboscidactylidae,Proboscidactyla,Proboscidactyla flavicirrata
Rhodophyta,Bangiophyceae,Bangiophyceae,Bangiales,Bangiaceae,Wildemania,Wildemania amplissima
Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia californiensis
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia languida
Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Campanularia,Campanularia volubilis
Metazoa,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,Hemipodia simplex
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Hecatonema,Hecatonema maculans
Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,Chrysaora melanaster
Rhodophyta,Bangiophyceae,Bangiophyceae,Bangiales,Bangiaceae,Wildemania,Wildemania sp. 5POR
Metazoa,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Bipalponephtys,Bipalponephtys cornuta
Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta sp. CMC01
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia gracilis
Rhodophyta,Florideophyceae,Florideophyceae,Corallinales,Corallinaceae,Pseudolithophyllum,Pseudolithophyllum sp. 2whidbeyense
Rhodophyta,Bangiophyceae,Bangiophyceae,Bangiales,Bangiaceae,Wildemania,Wildemania sp. HK-2011
Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste diadroma
Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus glacialis
Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,NA
Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,NA
Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis vexillosa
Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Megacyclops,Megacyclops viridis
Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Halicyclops,Halicyclops itohi
Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Mytilicolidae,Mytilicola,Mytilicola orientalis
Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata
Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis sp. CMC02
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,Harpacticoida sp. DNZ085
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia folleata
Rhodophyta,Florideophyceae,Florideophyceae,Corallinales,Corallinaceae,Bossiella,Bossiella frondescens
Metazoa,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,NA,NA
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Ectinosomatidae,Pseudobradya,Pseudobradya attenuata
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Nitokra,Nitokra spinipes
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Stenhelia,Stenhelia pubescens
Metazoa,Arthropoda,Hexanauplia,Kentrogonida,Sacculinidae,Loxothylacus,Loxothylacus panopaei
Metazoa,Arthropoda,Hexanauplia,Kentrogonida,Peltogastridae,Peltogaster,Peltogaster paguri
Metazoa,Arthropoda,Hexanauplia,Poecilostomatoida,Splanchnotrophidae,Ismaila,Ismaila chaihuiensis
Metazoa,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
Metazoa,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Notophyllum,Notophyllum foliosum
Metazoa,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata
Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,Halosydna brevisetosa
Metazoa,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus balanus
Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe fragilis
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,Chordariaceae sp. 7 AP-2014
Stramenopiles,Raphidophyceae,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella subsalsa
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,Chordariaceae sp. 2 AP-2014
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,Chordariaceae sp. 17 AP-2014
Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,NA
Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,NA,NA
Stramenopiles,Phaeophyceae,Phaeophyceae,Fucales,Sargassaceae,Halidrys,Halidrys siliquosa
Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,NA,Polynoidae sp. C_0250
Metazoa,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Maculaura,Maculaura alaskensis
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Coryne,Coryne eximia
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Orthopyxis,Orthopyxis integra
Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,Geminosyllis,Geminosyllis ohma
Rhodophyta,Florideophyceae,Florideophyceae,Ceramiales,Delesseriaceae,Martensia,Martensia jejuensis
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Microspongium,Microspongium alariae
Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,Opisthosyllis,Opisthosyllis sp. CMC01
Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea,Proceraea okadai
Stramenopiles,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,Striaria,Striaria attenuata
Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis alternata CMC01
Metazoa,Annelida,Polychaeta,Sabellida,Oweniidae,Galathowenia,Galathowenia oculata
Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
Stramenopiles,Oomycetes,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium sp. CAL-2011c
Stramenopiles,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
Stramenopiles,Oomycetes,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium tracheiphilum
Haptophyceae,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
Stramenopiles,Chrysophyceae,Chrysophyceae,Chromulinales,Dinobryaceae,Poteriospumella,Poteriospumella lacustris
Stramenopiles,Oomycetes,Oomycetes,Peronosporales,Peronosporaceae,Peronospora,Peronospora violae
Viridiplantae,Chlorophyta,NA,NA,Pycnococcaceae,Pycnococcus,Pycnococcus provasolii
Stramenopiles,Oomycetes,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium pachycaule
Amoebozoa,Tubulinida,NA,NA,Hartmannellidae,Hartmannella,Hartmannella cantabrigiensis
Haptophyceae,Haptophyceae,Haptophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp. CCMP291
Metazoa,Porifera,Demospongiae,Bubarida,Dictyonellidae,Scopalina,Scopalina ruetzleri
Stramenopiles,Chrysophyceae,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sinomuralis
Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula taiwanensis
Stramenopiles,Oomycetes,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia diclina
Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus
Heterotrophic_flagellates,Katablepharidophyta,Katablepharidophyta,NA,Katablepharidaceae,Leucocryptos,Leucocryptos marina
Viridiplantae,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastix,Dolichomastix tenuilepis
Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Blastocladiella,Blastocladiella emersonii
Metazoa,Rotifera,Monogononta,Ploima,Brachionidae,Platyias,Platyias quadricornis
Stramenopiles,Bicosoecida,NA,Bicosoecida,Cafeteriaceae,Cafeteria,Cafeteria roenbergensis
Apusozoa,Apusomonadidae,NA,NA,Apusomonadidae,Thecamonas,Thecamonas trahens
Stramenopiles,Oomycetes,Oomycetes,Albuginales,Albuginaceae,Albugo,Albugo candida
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Amphicaryon,Amphicaryon earnesti
Metazoa,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,Synchaeta pectinata
Metazoa,Rotifera,Monogononta,Ploima,Brachionidae,NA,Brachionidae sp. SHYT150702c
Cryptophyta,Pyrenomonadales,NA,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,Rhodomonas salina
Stramenopiles,Oomycetes,Oomycetes,Pythiales,Pythiaceae,Salispina,Salispina spinosa
Stramenopiles,Oomycetes,Oomycetes,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces sp. BOLD:AAO9952
Amoebozoa,Discosea,NA,NA,Paramoebidae,Paramoeba,Paramoeba pemaquidensis
Stramenopiles,Oomycetes,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium acanthicum
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,Nanomia cara
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,Pennaria,Pennaria disticha
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium rubens
Stramenopiles,Oomycetes,Oomycetes,Lagenidiales,Lagenidiaceae,Lagenidium,Lagenidium giganteum
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sclerotiorum
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,Hydra circumcincta
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps militaris
Metazoa,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,Chone magna CMC02
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
Stramenopiles,Chrysophyceae,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella encystans
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora bantiana
Fungi,Ascomycota,Leotiomycetes,Helotiales,Chaetomellaceae,Synchaetomella,Synchaetomella acerina
Amoebozoa,Himatismenida,NA,Himatismenida,Cochliopodiidae,Cochliopodium,Cochliopodium larifeili
Stramenopiles,Chrysophyceae,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,Dinobryon divergens
Metazoa,Rotifera,Monogononta,Ploima,Brachionidae,Keratella,Keratella cochlearis
Stramenopiles,Oomycetes,Oomycetes,Pythiales,Pythiaceae,Halophytophthora,Halophytophthora avicenniae
Amoebozoa,Himatismenida,NA,Himatismenida,Cochliopodiidae,Cochliopodium,Cochliopodium sp. SG-2014
Amoebozoa,Discosea,NA,NA,Paramoebidae,Cunea,Cunea thuwala
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,Hypogymnia vittata
Stramenopiles,Oomycetes,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium aff. diclinum
